Title20,Title,Country,SCIE,SSCI,AHCI,ESCI
J ECON METHODOL,JOURNAL OF ECONOMIC METHODOLOGY,ENGLAND,,X,,
J ECON PERSPECT,JOURNAL OF ECONOMIC PERSPECTIVES,UNITED STATES,,X,,
J ECON POLICY REFORM,JOURNAL OF ECONOMIC POLICY REFORM,ENGLAND,,X,,
J ECON POLICY RES-IK,JOURNAL OF ECONOMIC POLICY RESEARCHES-IKTISAT POLITIKASI ARASTIRMALARI DERGISI,TURKIYE,,,,X
J ECON PSYCHOL,JOURNAL OF ECONOMIC PSYCHOLOGY,NETHERLANDS,,X,,
J ECON RACE POLICY,JOURNAL OF ECONOMICS RACE AND POLICY,UNITED STATES,,,,X
J ECON SCI ASSOC-JES,JOURNAL OF THE ECONOMIC SCIENCE ASSOCIATION-JESA,GERMANY,,,,X
J ECON SOC HIST ORIE,JOURNAL OF THE ECONOMIC AND SOCIAL HISTORY OF THE ORIENT,NETHERLANDS,,X,X,
J ECON SOCIOL,JOURNAL OF ECONOMIC SOCIOLOGY-EKONOMICHESKAYA SOTSIOLOGIYA,RUSSIA,,,,X
J ECON STUD,JOURNAL OF ECONOMIC STUDIES,ENGLAND,,,,X
J ECON SURV,JOURNAL OF ECONOMIC SURVEYS,ENGLAND,,X,,
J ECON THEORY,JOURNAL OF ECONOMIC THEORY,UNITED STATES,,X,,
J ECONOM ADM SCI,JOURNAL OF ECONOMIC AND ADMINISTRATIVE SCIENCES,ENGLAND,,,,X
J ECONOMETRICS,JOURNAL OF ECONOMETRICS,NETHERLANDS,X,X,,
J ECOTOURISM,JOURNAL OF ECOTOURISM,ENGLAND,,,,X
J ECT,JOURNAL OF ECT,UNITED STATES,X,X,,
J ECUMENICAL STUD,JOURNAL OF ECUMENICAL STUDIES,UNITED STATES,,,X,
J ED CULT PSYCHOL ST,JOURNAL OF EDUCATIONAL CULTURAL AND PSYCHOLOGICAL STUDIES,ITALY,,,,X
J EDUC ADM HIST,JOURNAL OF EDUCATIONAL ADMINISTRATION AND HISTORY,ENGLAND,,,,X
J EDUC ADMIN,JOURNAL OF EDUCATIONAL ADMINISTRATION,ENGLAND,,X,,
J EDUC BEHAV STAT,JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,UNITED STATES,,X,,
J EDUC BUS,JOURNAL OF EDUCATION FOR BUSINESS,UNITED STATES,,,,X
J EDUC CHANG,JOURNAL OF EDUCATIONAL CHANGE,NETHERLANDS,,X,,
J EDUC COMPUT RES,JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,UNITED STATES,,X,,
J EDUC CULT SOC,JOURNAL OF EDUCATION CULTURE AND SOCIETY,POLAND,,,,X
J EDUC EVAL HEALTH P,JOURNAL OF EDUCATIONAL EVALUATION FOR HEALTH PROFESSIONS,SOUTH KOREA,,,,X
J EDUC FINANC,JOURNAL OF EDUCATION FINANCE,UNITED STATES,,,,X
J EDUC FUTUR,JOURNAL OF EDUCATION AND FUTURE-EGITIM VE GELECEK DERGISI,TURKIYE,,,,X
J EDUC GIFTED,JOURNAL FOR THE EDUCATION OF THE GIFTED,UNITED STATES,,,,X
J EDUC HEALTH PROMOT,JOURNAL OF EDUCATION AND HEALTH PROMOTION,INDIA,,,,X
J EDUC MEAS,JOURNAL OF EDUCATIONAL MEASUREMENT,UNITED STATES,,X,,
J EDUC POLICY,JOURNAL OF EDUCATION POLICY,ENGLAND,,X,,
J EDUC PSYCHOL,JOURNAL OF EDUCATIONAL PSYCHOLOGY,UNITED STATES,,X,,
J EDUC PSYCHOL CONS,JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,UNITED STATES,,X,,
J EDUC RES,JOURNAL OF EDUCATIONAL RESEARCH,UNITED STATES,,X,,
J EDUC RES ONLINE-JE,JOURNAL FOR EDUCATIONAL RESEARCH ONLINE-JERO,GERMANY,,,,X
J EDUC SCI PSYCHOL,JOURNAL OF EDUCATIONAL SCIENCES & PSYCHOLOGY,ROMANIA,,,,X
J EDUC STUDENTS PLAC,JOURNAL OF EDUCATION FOR STUDENTS PLACED AT RISK,UNITED STATES,,,,X
J EDUC TEACHING,JOURNAL OF EDUCATION FOR TEACHING,ENGLAND,,X,,
J EDUC WORK,JOURNAL OF EDUCATION AND WORK,ENGLAND,,,,X
J EDUC-S AFR,JOURNAL OF EDUCATION,SOUTH AFRICA,,,,X
J EDUC-US,JOURNAL OF EDUCATION-US,UNITED STATES,,,,X
J EFFIC RESPONSIB ED,JOURNAL ON EFFICIENCY AND RESPONSIBILITY IN EDUCATION AND SCIENCE,CZECH REPUBLIC,,,,X
J EGYPT ARCHAEOL,JOURNAL OF EGYPTIAN ARCHAEOLOGY,EGYPT,,,X,
J EGYPT HIST,JOURNAL OF EGYPTIAN HISTORY,NETHERLANDS,,,,X
J EGYPT NATL CANCER,JOURNAL OF THE EGYPTIAN NATIONAL CANCER INSTITUTE,EGYPT,,,,X
J EGYPT OPHTHALMOL,JOURNAL OF THE EGYPTIAN OPHTHALMOLOGICAL SOCIETY,INDIA,,,,X
J EGYPT PUBLIC HEAL,JOURNAL OF THE EGYPTIAN PUBLIC HEALTH ASSOCIATION,ENGLAND,,,,X
J EGYPT WOM DERM SOC,JOURNAL OF EGYPTIAN WOMENS DERMATOLOGICAL SOCIETY,EGYPT,,,,X
J EIGHTEENTH-CENTURY,JOURNAL FOR EIGHTEENTH-CENTURY STUDIES,ENGLAND,,,X,
J ELASTICITY,JOURNAL OF ELASTICITY,NETHERLANDS,X,,,
J ELASTOM PLAST,JOURNAL OF ELASTOMERS AND PLASTICS,ENGLAND,X,,,
J ELDER ABUSE NEGL,JOURNAL OF ELDER ABUSE & NEGLECT,ENGLAND,,X,,
J E-LEARN KNOWL SOC,JOURNAL OF E-LEARNING AND KNOWLEDGE SOCIETY,ITALY,,,,X
J ELECT PUBLIC OPIN,JOURNAL OF ELECTIONS PUBLIC OPINION AND PARTIES,ENGLAND,,X,,
J ELECTR COMPUT ENG,JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING,UNITED STATES,,,,X
J ELECTR ENG TECHNOL,JOURNAL OF ELECTRICAL ENGINEERING & TECHNOLOGY,SOUTH KOREA,X,,,
J ELECTR ENG-SLOVAK,JOURNAL OF ELECTRICAL ENGINEERING-ELEKTROTECHNICKY CASOPIS,SLOVAKIA,X,,,
J ELECTROANAL CHEM,JOURNAL OF ELECTROANALYTICAL CHEMISTRY,SWITZERLAND,X,,,
J ELECTROCARDIOL,JOURNAL OF ELECTROCARDIOLOGY,UNITED STATES,X,,,
J ELECTROCERAM,JOURNAL OF ELECTROCERAMICS,NETHERLANDS,X,,,
J ELECTROCHEM ENERGY,JOURNAL OF ELECTROCHEMICAL ENERGY CONVERSION AND STORAGE,UNITED STATES,X,,,
J ELECTROCHEM SCI EN,JOURNAL OF ELECTROCHEMICAL SCIENCE AND ENGINEERING,CROATIA,,,,X
J ELECTROCHEM SCI TE,JOURNAL OF ELECTROCHEMICAL SCIENCE AND TECHNOLOGY,SOUTH KOREA,X,,,
J ELECTROCHEM SOC,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,UNITED STATES,X,,,
J ELECTROMAGN ENG SC,JOURNAL OF ELECTROMAGNETIC ENGINEERING AND SCIENCE,SOUTH KOREA,X,,,
J ELECTROMAGNET WAVE,JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS,NETHERLANDS,X,,,
J ELECTROMYOGR KINES,JOURNAL OF ELECTROMYOGRAPHY AND KINESIOLOGY,ENGLAND,X,,,
J ELECTRON COMMER OR,JOURNAL OF ELECTRONIC COMMERCE IN ORGANIZATIONS,UNITED STATES,,,,X
J ELECTRON COMMER RE,JOURNAL OF ELECTRONIC COMMERCE RESEARCH,UNITED STATES,,X,,
J ELECTRON IMAGING,JOURNAL OF ELECTRONIC IMAGING,UNITED STATES,X,,,
J ELECTRON INF TECHN,JOURNAL OF ELECTRONICS & INFORMATION TECHNOLOGY,PEOPLES R CHINA,,,,X
J ELECTRON MATER,JOURNAL OF ELECTRONIC MATERIALS,UNITED STATES,X,,,
J ELECTRON PACKAGING,JOURNAL OF ELECTRONIC PACKAGING,UNITED STATES,X,,,
J ELECTRON SPECTROSC,JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,NETHERLANDS,X,,,
J ELECTRON TEST,JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS,UNITED STATES,X,,,
J ELECTROSTAT,JOURNAL OF ELECTROSTATICS,NETHERLANDS,X,,,
J ELEMENTOL,JOURNAL OF ELEMENTOLOGY,POLAND,X,,,
J ELLIPTIC PARABOL,JOURNAL OF ELLIPTIC AND PARABOLIC EQUATIONS,GERMANY,,,,X
J EMDR PRACT RES,JOURNAL OF EMDR PRACTICE AND RESEARCH,UNITED STATES,,,,X
J EMERG MARK FINANC,JOURNAL OF EMERGING MARKET FINANCE,INDIA,,,,X
J EMERG MED,JOURNAL OF EMERGENCY MEDICINE,UNITED STATES,X,,,
J EMERG MED CASE REP,JOURNAL OF EMERGENCY MEDICINE CASE REPORTS,TURKIYE,,,,X
J EMERG NURS,JOURNAL OF EMERGENCY NURSING,UNITED STATES,X,X,,
J EMERG TECHNOL ACCO,JOURNAL OF EMERGING TECHNOLOGIES IN ACCOUNTING,UNITED STATES,,,,X
J EMERG TRAUMA SHOCK,JOURNAL OF EMERGENCIES TRAUMA AND SHOCK,INDIA,,,,X
J EMOT BEHAV DISORD,JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,UNITED STATES,,X,,
J EMPIR FINANC,JOURNAL OF EMPIRICAL FINANCE,NETHERLANDS,,X,,
J EMPIR LEGAL STUD,JOURNAL OF EMPIRICAL LEGAL STUDIES,UNITED STATES,,X,,
J EMPIR RES HUM RES,JOURNAL OF EMPIRICAL RESEARCH ON HUMAN RESEARCH ETHICS,UNITED STATES,X,X,,
J EMPIR THEOL,JOURNAL OF EMPIRICAL THEOLOGY,NETHERLANDS,,,,X
J EMPLOYMENT COUNS,JOURNAL OF EMPLOYMENT COUNSELING,UNITED STATES,,X,,
J ENABLING TECHNOL,JOURNAL OF ENABLING TECHNOLOGIES,ENGLAND,,,,X
J ENDOCR SOC,JOURNAL OF THE ENDOCRINE SOCIETY,UNITED STATES,,,,X
J ENDOCRINOL,JOURNAL OF ENDOCRINOLOGY,ENGLAND,X,,,
J ENDOCRINOL INVEST,JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION,ITALY,X,,,
J ENDOCRINOL METAB,JOURNAL OF ENDOCRINOLOGY AND METABOLISM,CANADA,,,,X
J ENDODONT,JOURNAL OF ENDODONTICS,UNITED STATES,X,,,
J ENDOKRINOL DIAB ST,JOURNAL FUR ENDOKRINOLOGIE DIABETOLOGIE UND STOFFWECHSEL,AUSTRIA,,,,X
J ENDOMETR PELVIC PA,JOURNAL OF ENDOMETRIOSIS AND PELVIC PAIN DISORDERS,ENGLAND,,,,X
J ENDOUROL,JOURNAL OF ENDOUROLOGY,UNITED STATES,X,,,
J ENDOVASC RESUSC TR,JOURNAL OF ENDOVASCULAR RESUSCITATION AND TRAUMA MANAGEMENT,SWEDEN,,,,X
J ENDOVASC THER,JOURNAL OF ENDOVASCULAR THERAPY,UNITED STATES,X,,,
J ENERG ENG,JOURNAL OF ENERGY ENGINEERING,UNITED STATES,X,,,
J ENERG MATER,JOURNAL OF ENERGETIC MATERIALS,UNITED STATES,X,,,
J ENERG RESOUR-ASME,JOURNAL OF ENERGY RESOURCES TECHNOLOGY-TRANSACTIONS OF THE ASME,UNITED STATES,X,,,
J ENERGY CHEM,JOURNAL OF ENERGY CHEMISTRY,PEOPLES R CHINA,X,,,
J ENERGY INST,JOURNAL OF THE ENERGY INSTITUTE,ENGLAND,X,,,
J ENERGY MARKETS,JOURNAL OF ENERGY MARKETS,ENGLAND,,,,X
J ENERGY NAT RESO LA,JOURNAL OF ENERGY & NATURAL RESOURCES LAW,ENGLAND,,X,,
J ENERGY SOUTH AFR,JOURNAL OF ENERGY IN SOUTHERN AFRICA,SOUTH AFRICA,X,,,
J ENERGY STORAGE,JOURNAL OF ENERGY STORAGE,NETHERLANDS,X,,,
J ENG DES TECHNOL,JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY,ENGLAND,,,,X
J ENG DESIGN,JOURNAL OF ENGINEERING DESIGN,ENGLAND,X,,,
J ENG EDUC,JOURNAL OF ENGINEERING EDUCATION,UNITED STATES,X,X,,
J ENG FIBER FABR,JOURNAL OF ENGINEERED FIBERS AND FABRICS,UNITED STATES,X,,,
J ENG GAS TURB POWER,JOURNAL OF ENGINEERING FOR GAS TURBINES AND POWER-TRANSACTIONS OF THE ASME,UNITED STATES,X,,,
J ENG MATER-T ASME,JOURNAL OF ENGINEERING MATERIALS AND TECHNOLOGY-TRANSACTIONS OF THE ASME,UNITED STATES,X,,,
J ENG MATH,JOURNAL OF ENGINEERING MATHEMATICS,NETHERLANDS,X,,,
J ENG MECH,JOURNAL OF ENGINEERING MECHANICS,UNITED STATES,X,,,
J ENG PHYS THERMOPH+,JOURNAL OF ENGINEERING PHYSICS AND THERMOPHYSICS,BYELARUS,,,,X
J ENG RES-KUWAIT,JOURNAL OF ENGINEERING RESEARCH,KUWAIT,X,,,
J ENG SCI TECHNOL,JOURNAL OF ENGINEERING SCIENCE AND TECHNOLOGY,MALAYSIA,,,,X
J ENG SCI-UKR,JOURNAL OF ENGINEERING SCIENCES-UKRAINE,UKRAINE,,,,X
J ENG TECHNOL MANAGE,JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,NETHERLANDS,X,X,,
J ENG TECHNOL SCI,JOURNAL OF ENGINEERING AND TECHNOLOGICAL SCIENCES,INDONESIA,,,,X
J ENG TECHNOL-US,JOURNAL OF ENGINEERING TECHNOLOGY,UNITED STATES,X,,,
J ENG THERMOPHYS-RUS,JOURNAL OF ENGINEERING THERMOPHYSICS,RUSSIA,X,,,
J ENG-JOE,JOURNAL OF ENGINEERING-JOE,ENGLAND,,,,X
J ENGL ACAD PURP,JOURNAL OF ENGLISH FOR ACADEMIC PURPOSES,NETHERLANDS,,X,X,
J ENGL GER PHILOL,JOURNAL OF ENGLISH AND GERMANIC PHILOLOGY,UNITED STATES,,,X,
J ENGL LING FR,JOURNAL OF ENGLISH AS A LINGUA FRANCA,GERMANY,,,,X
J ENGL LINGUIST,JOURNAL OF ENGLISH LINGUISTICS,UNITED STATES,,X,X,
J ENG-NY,JOURNAL OF ENGINEERING,UNITED STATES,,,,X
J ENHANC HEAT TRANSF,JOURNAL OF ENHANCED HEAT TRANSFER,ENGLAND,X,,,
J ENTERP COMMUNITIES,JOURNAL OF ENTERPRISING COMMUNITIES-PEOPLE AND PLACES IN THE GLOBAL ECONOMY,ENGLAND,,,,X
J ENTERP INF MANAG,JOURNAL OF ENTERPRISE INFORMATION MANAGEMENT,ENGLAND,,X,,
J ENTERPRISING CULT,JOURNAL OF ENTERPRISING CULTURE,SINGAPORE,,,,X
J ENTOMOL RES SOC,JOURNAL OF THE ENTOMOLOGICAL RESEARCH SOCIETY,TURKIYE,X,,,
J ENTOMOL SCI,JOURNAL OF ENTOMOLOGICAL SCIENCE,UNITED STATES,X,,,
J ENTREP,JOURNAL OF ENTREPRENEURSHIP,INDIA,,,,X
J ENTREP EMERG ECON,JOURNAL OF ENTREPRENEURSHIP IN EMERGING ECONOMIES,ENGLAND,,,,X
J ENTREP MANAG INNOV,JOURNAL OF ENTREPRENEURSHIP MANAGEMENT AND INNOVATION,POLAND,,,,X
J ENTREP PUBLIC POLI,JOURNAL OF ENTREPRENEURSHIP AND PUBLIC POLICY,ENGLAND,,,,X
J ENV SCI HEAL C-TOX,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-TOXICOLOGY AND CARCINOGENESIS,UNITED STATES,X,,,
J ENVIRON ACCOUNT MA,JOURNAL OF ENVIRONMENTAL ACCOUNTING AND MANAGEMENT,UNITED STATES,,,,X
J ENVIRON BIOL,JOURNAL OF ENVIRONMENTAL BIOLOGY,INDIA,,,,X
J ENVIRON CHEM ENG,JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING,ENGLAND,X,,,
J ENVIRON DEV,JOURNAL OF ENVIRONMENT & DEVELOPMENT,UNITED STATES,,X,,
J ENVIRON ECON MANAG,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,UNITED STATES,,X,,
J ENVIRON ECON POLIC,JOURNAL OF ENVIRONMENTAL ECONOMICS AND POLICY,ENGLAND,,,,X
J ENVIRON EDUC,JOURNAL OF ENVIRONMENTAL EDUCATION,UNITED STATES,,X,,
J ENVIRON ENG,JOURNAL OF ENVIRONMENTAL ENGINEERING,UNITED STATES,X,,,
J ENVIRON ENG GEOPH,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,UNITED STATES,X,,,
J ENVIRON ENG LANDSC,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT,LITHUANIA,X,,,
J ENVIRON ENG SCI,JOURNAL OF ENVIRONMENTAL ENGINEERING AND SCIENCE,ENGLAND,,,,X
J ENVIRON HEALTH,JOURNAL OF ENVIRONMENTAL HEALTH,UNITED STATES,X,,,
J ENVIRON HEALTH SCI,JOURNAL OF ENVIRONMENTAL HEALTH SCIENCE AND ENGINEERING,IRAN,X,,,
J ENVIRON INFORM,JOURNAL OF ENVIRONMENTAL INFORMATICS,CANADA,X,,,
J ENVIRON LAW,JOURNAL OF ENVIRONMENTAL LAW,ENGLAND,,X,,
J ENVIRON MANAGE,JOURNAL OF ENVIRONMENTAL MANAGEMENT,ENGLAND,X,,,
J ENVIRON PATHOL TOX,JOURNAL OF ENVIRONMENTAL PATHOLOGY TOXICOLOGY AND ONCOLOGY,UNITED STATES,X,,,
J ENVIRON PLANN MAN,JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,ENGLAND,,X,,
J ENVIRON POL PLAN,JOURNAL OF ENVIRONMENTAL POLICY & PLANNING,ENGLAND,,X,,
J ENVIRON PSYCHOL,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,ENGLAND,,X,,
J ENVIRON QUAL,JOURNAL OF ENVIRONMENTAL QUALITY,UNITED STATES,X,,,
J ENVIRON RADIOACTIV,JOURNAL OF ENVIRONMENTAL RADIOACTIVITY,ENGLAND,X,,,
J ENVIRON SCI,JOURNAL OF ENVIRONMENTAL SCIENCES,PEOPLES R CHINA,X,,,
J ENVIRON SCI HEAL A,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,UNITED STATES,X,,,
J ENVIRON SCI HEAL B,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART B-PESTICIDES FOOD CONTAMINANTS AND AGRICULTURAL WASTES,UNITED STATES,X,,,
J ENVIRON SCI MANAG,JOURNAL OF ENVIRONMENTAL SCIENCE AND MANAGEMENT,PHILIPPINES,X,,,
J ENVIRON STUD SCI,JOURNAL OF ENVIRONMENTAL STUDIES AND SCIENCES,UNITED STATES,,,,X
J ENZYM INHIB MED CH,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,ENGLAND,X,,,
J EPIDEMIOL,JOURNAL OF EPIDEMIOLOGY,JAPAN,X,,,
J EPIDEMIOL COMMUN H,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,ENGLAND,X,X,,
J EPIDEMIOL GLOB HEA,JOURNAL OF EPIDEMIOLOGY AND GLOBAL HEALTH,FRANCE,X,X,,
J EPIDEMIOL POPUL HL,JOURNAL OF EPIDEMIOLOGY AND POPULATION HEALTH,FRANCE,X,,,
J EQUINE VET SCI,JOURNAL OF EQUINE VETERINARY SCIENCE,UNITED STATES,X,,,
J ESSENT OIL BEAR PL,JOURNAL OF ESSENTIAL OIL BEARING PLANTS,INDIA,X,,,
J ESSENT OIL RES,JOURNAL OF ESSENTIAL OIL RESEARCH,UNITED STATES,X,,,
J ESTHET RESTOR DENT,JOURNAL OF ESTHETIC AND RESTORATIVE DENTISTRY,UNITED STATES,X,,,
J ETA MARIT SCI,JOURNAL OF ETA MARITIME SCIENCE,TURKIYE,,,,X
J ETHICS,JOURNAL OF ETHICS,NETHERLANDS,,,,X
J ETHN CRIM JUSTICE,JOURNAL OF ETHNICITY IN CRIMINAL JUSTICE,UNITED STATES,,,,X
J ETHN CULT DIVERSIT,JOURNAL OF ETHNIC & CULTURAL DIVERSITY IN SOCIAL WORK,UNITED STATES,,,,X
J ETHN MIGR STUD,JOURNAL OF ETHNIC AND MIGRATION STUDIES,ENGLAND,,X,,
J ETHN SUBST ABUSE,JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,ENGLAND,X,X,,
J ETHNOBIOL,JOURNAL OF ETHNOBIOLOGY,UNITED STATES,X,X,,
J ETHNOBIOL ETHNOMED,JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,ENGLAND,X,,,
J ETHNOPHARMACOL,JOURNAL OF ETHNOPHARMACOLOGY,IRELAND,X,,,
J ETHOL,JOURNAL OF ETHOLOGY,JAPAN,X,,,
J EUKARYOT MICROBIOL,JOURNAL OF EUKARYOTIC MICROBIOLOGY,UNITED STATES,X,,,
J EUR ACAD DERMATOL,JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY,ENGLAND,X,,,
J EUR CERAM SOC,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,ENGLAND,X,,,
J EUR COMPET LAW PRA,JOURNAL OF EUROPEAN COMPETITION LAW & PRACTICE,ENGLAND,,,,X
J EUR ECON ASSOC,JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION,ENGLAND,,X,,
J EUR ENVIRON PLAN L,JOURNAL FOR EUROPEAN ENVIRONMENTAL & PLANNING LAW,NETHERLANDS,,,,X
J EUR INTEGR,JOURNAL OF EUROPEAN INTEGRATION,ENGLAND,,X,,
J EUR MATH SOC,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,GERMANY,X,,,
J EUR OPT SOC-RAPID,JOURNAL OF THE EUROPEAN OPTICAL SOCIETY-RAPID PUBLICATIONS,GERMANY,X,,,
J EUR PUBLIC POLICY,JOURNAL OF EUROPEAN PUBLIC POLICY,ENGLAND,,X,,
J EUR REAL ESTATE RE,JOURNAL OF EUROPEAN REAL ESTATE RESEARCH,ENGLAND,,,,X
J EUR SOC POLICY,JOURNAL OF EUROPEAN SOCIAL POLICY,ENGLAND,,X,,
J EUR STUD,JOURNAL OF EUROPEAN STUDIES,ENGLAND,,,X,
J EVAL CLIN PRACT,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,ENGLAND,X,,,
J EVID-BASED DENT PR,JOURNAL OF EVIDENCE-BASED DENTAL PRACTICE,UNITED STATES,X,,,
J EVID-BASED INTEGR,JOURNAL OF EVIDENCE-BASED INTEGRATIVE MEDICINE,UNITED STATES,,,,X
J EVID-BASED MED,JOURNAL OF EVIDENCE BASED MEDICINE,PEOPLES R CHINA,X,,,
J EVID-BASED PSYCHOT,JOURNAL OF EVIDENCE-BASED PSYCHOTHERAPIES,ROMANIA,,X,,
J EVID-BASED SOC WOR,JOURNAL OF EVIDENCE-BASED SOCIAL WORK,UNITED STATES,,,,X
J EVOL BIOCHEM PHYS+,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,RUSSIA,X,,,
J EVOL ECON,JOURNAL OF EVOLUTIONARY ECONOMICS,GERMANY,,X,,
J EVOL EQU,JOURNAL OF EVOLUTION EQUATIONS,SWITZERLAND,X,,,
J EVOLUTION BIOL,JOURNAL OF EVOLUTIONARY BIOLOGY,ENGLAND,X,,,
J EXERC REHABIL,JOURNAL OF EXERCISE REHABILITATION,SOUTH KOREA,,,,X
J EXERC SCI FIT,JOURNAL OF EXERCISE SCIENCE & FITNESS,PEOPLES R CHINA,X,,,
J EXOT PET MED,JOURNAL OF EXOTIC PET MEDICINE,UNITED STATES,X,,,
J EXP ANAL BEHAV,JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,UNITED STATES,X,X,,
J EXP BIOL,JOURNAL OF EXPERIMENTAL BIOLOGY,ENGLAND,X,,,
J EXP BOT,JOURNAL OF EXPERIMENTAL BOTANY,ENGLAND,X,,,
J EXP CHILD PSYCHOL,JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,UNITED STATES,,X,,
J EXP CLIN CANC RES,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,ITALY,X,,,
J EXP CRIMINOL,JOURNAL OF EXPERIMENTAL CRIMINOLOGY,NETHERLANDS,,X,,
J EXP EDUC,JOURNAL OF EXPERIMENTAL EDUCATION,UNITED STATES,,X,,
J EXP MAR BIOL ECOL,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,NETHERLANDS,X,,,
J EXP MED,JOURNAL OF EXPERIMENTAL MEDICINE,UNITED STATES,X,,,
J EXP NANOSCI,JOURNAL OF EXPERIMENTAL NANOSCIENCE,ENGLAND,X,,,
J EXP ORTHOP,JOURNAL OF EXPERIMENTAL ORTHOPAEDICS,GERMANY,,,,X
J EXP POLIT SCI,JOURNAL OF EXPERIMENTAL POLITICAL SCIENCE,UNITED STATES,,,,X
J EXP PSYCHOL GEN,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,UNITED STATES,,X,,
J EXP PSYCHOL HUMAN,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,UNITED STATES,X,X,,
J EXP PSYCHOL LEARN,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,UNITED STATES,X,X,,
J EXP PSYCHOL-ANIM L,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,UNITED STATES,X,X,,
J EXP PSYCHOL-APPL,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,UNITED STATES,,X,,
J EXP PSYCHOPATHOL,JOURNAL OF EXPERIMENTAL PSYCHOPATHOLOGY,ENGLAND,,X,,
J EXP SOC PSYCHOL,JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,UNITED STATES,,X,,
J EXP THEOR ARTIF IN,JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,ENGLAND,X,,,
J EXP THEOR PHYS+,JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS,RUSSIA,X,,,
J EXP ZOOL PART A,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,UNITED STATES,X,,,
J EXP ZOOL PART B,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,UNITED STATES,X,,,
J EXPERIENT EDUC,JOURNAL OF EXPERIENTIAL EDUCATION,UNITED STATES,,,,X
J EXPO SCI ENV EPID,JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY,UNITED STATES,X,,,
J EXT,JOURNAL OF EXTENSION,UNITED STATES,,,,X
J EXTRACELL VESICLES,JOURNAL OF EXTRACELLULAR VESICLES,ENGLAND,X,,,
J EYE MOVEMENT RES,JOURNAL OF EYE MOVEMENT RESEARCH,SWITZERLAND,X,,,
J FAC AGR KYUSHU U,JOURNAL OF THE FACULTY OF AGRICULTURE KYUSHU UNIVERSITY,JAPAN,X,,,
J FAC ENG ARCHIT GAZ,JOURNAL OF THE FACULTY OF ENGINEERING AND ARCHITECTURE OF GAZI UNIVERSITY,TURKIYE,X,,,
