title,url,issn,eissn,publisher,language,country,oa_type,positioning,partition,source,source_url,page,fetched_at
JAPANESE DENTAL SCIENCE REVIEW,https://www.oaj.com.cn/Journal/japanese-dental-science-review,1882-7616,2213-6851,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,40,2026-05-21T07:21:51+00:00
JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,https://www.oaj.com.cn/Journal/journal-of-advances-in-modeling-earth-systems,,1942-2466,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,40,2026-05-21T07:21:51+00:00
JACS AU,https://www.oaj.com.cn/Journal/jacs-au,,2691-3704,American Chemical Society,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,40,2026-05-21T07:21:51+00:00
Journal of Agricultural and Applied Economics,https://www.oaj.com.cn/Journal/journal-of-agricultural-and-applied-economics,1074-0708,2056-7405,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,40,2026-05-21T07:21:51+00:00
Journal of Agriculture and Food Research,https://www.oaj.com.cn/Journal/journal-of-agriculture-and-food-research,2666-1543,2666-1543,Elsevier,English,Netherlands,Gold OA,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,40,2026-05-21T07:21:51+00:00
JOURNAL OF BIOLOGICAL ENGINEERING,https://www.oaj.com.cn/Journal/journal-of-biological-engineering,,1754-1611,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF CHEMINFORMATICS,https://www.oaj.com.cn/Journal/journal-of-cheminformatics,,1758-2946,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF BIOMEDICAL SCIENCE,https://www.oaj.com.cn/Journal/journal-of-biomedical-science,,1423-0127,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF BIG DATA,https://www.oaj.com.cn/Journal/journal-of-big-data,,2196-1115,Springer,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF BRITISH STUDIES,https://www.oaj.com.cn/Journal/journal-of-british-studies,0021-9371,1545-6986,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,https://www.oaj.com.cn/Journal/journal-of-cardiovascular-magnetic-resonance,1097-6647,1532-429X,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF BIOLOGICAL CHEMISTRY,https://www.oaj.com.cn/Journal/journal-of-biological-chemistry,0021-9258,1083-351X,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF CACHEXIA SARCOPENIA AND MUSCLE,https://www.oaj.com.cn/Journal/journal-of-cachexia-sarcopenia-and-muscle,2190-5991,2190-6009,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF BIOLOGICAL DYNAMICS,https://www.oaj.com.cn/Journal/journal-of-biological-dynamics,,1751-3766,Taylor & Francis,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
Journal of Bioresources and Bioproducts,https://www.oaj.com.cn/Journal/journal-of-bioresources-and-bioproducts,2097-2415,2369-9698,"KeAi Communications Co., Ltd.",English,,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,41,2026-05-21T07:21:51+00:00
JOURNAL OF EATING DISORDERS,https://www.oaj.com.cn/Journal/journal-of-eating-disorders,,2050-2974,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF CHILD LANGUAGE,https://www.oaj.com.cn/Journal/journal-of-child-language,0305-0009,1469-7602,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF ENGINEERED FIBERS AND FABRICS,https://www.oaj.com.cn/Journal/journal-of-engineered-fibers-and-fabrics,,1558-9250,Sage,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF CURRENT SOUTHEAST ASIAN AFFAIRS,https://www.oaj.com.cn/Journal/journal-of-current-southeast-asian-affairs,1868-1034,1868-4882,Sage,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF DAIRY SCIENCE,https://www.oaj.com.cn/Journal/journal-of-dairy-science,0022-0302,1525-3198,Elsevier,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF CO2 UTILIZATION,https://www.oaj.com.cn/Journal/journal-of-co2-utilization,2212-9820,2212-9839,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF DIABETES,https://www.oaj.com.cn/Journal/journal-of-diabetes,1753-0393,1753-0407,Wiley,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,https://www.oaj.com.cn/Journal/journal-of-enzyme-inhibition-and-medicinal-chemistry,,1475-6374,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF DEEP SPACE EXPLORATION,https://www.oaj.com.cn/Journal/journal-of-deep-space-exploration,2096-9287,,Beijing Institute of Technology Press,English,China,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF DATA AND INFORMATION SCIENCE,https://www.oaj.com.cn/Journal/journal-of-data-and-information-science,2096-157X,2543-683X,Sciendo,English,Poland,Diamond/Platinum OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,42,2026-05-21T07:21:51+00:00
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,https://www.oaj.com.cn/Journal/journal-of-experimental-clinical-cancer-research,,1756-9966,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,https://www.oaj.com.cn/Journal/journal-of-ethnobiology-and-ethnomedicine,,1746-4269,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF FUNCTIONAL BIOMATERIALS,https://www.oaj.com.cn/Journal/journal-of-functional-biomaterials,,2079-4983,MDPI,English,Switzerland,Gold OA,Sound Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF FELINE MEDICINE AND SURGERY,https://www.oaj.com.cn/Journal/journal-of-feline-medicine-and-surgery,1098-612X,1532-2750,Sage,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF EXERCISE SCIENCE & FITNESS,https://www.oaj.com.cn/Journal/journal-of-exercise-science-fitness,1728-869X,1728-869X,Elsevier,English,Singapore,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF FOOD PROTECTION,https://www.oaj.com.cn/Journal/journal-of-food-protection,,0362-028X,Elsevier,Multi-Language,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF FUNCTIONAL FOODS,https://www.oaj.com.cn/Journal/journal-of-functional-foods,1756-4646,2214-9414,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF EXTRACELLULAR VESICLES,https://www.oaj.com.cn/Journal/journal-of-extracellular-vesicles,,2001-3078,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF FOOD BIOCHEMISTRY,https://www.oaj.com.cn/Journal/journal-of-food-biochemistry,0145-8884,1745-4514,Wiley,English,United Kingdom,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
Journal of Ginseng Research,https://www.oaj.com.cn/Journal/journal-of-ginseng-research,1226-8453,2093-4947,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,43,2026-05-21T07:21:51+00:00
JOURNAL OF INTENSIVE CARE,https://www.oaj.com.cn/Journal/journal-of-intensive-care,,2052-0492,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF HEMATOLOGY & ONCOLOGY,https://www.oaj.com.cn/Journal/journal-of-hematology-oncology,,1756-8722,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF HIGH ENERGY PHYSICS,https://www.oaj.com.cn/Journal/journal-of-high-energy-physics,,1029-8479,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF INDUSTRIAL TEXTILES,https://www.oaj.com.cn/Journal/journal-of-industrial-textiles,,1530-8057,Sage,English,USA,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF INFECTION,https://www.oaj.com.cn/Journal/journal-of-infection,0163-4453,1532-2742,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF HYDROLOGY-REGIONAL STUDIES,https://www.oaj.com.cn/Journal/journal-of-hydrology-regional-studies,2214-5818,2214-5818,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF INTEGRATIVE AGRICULTURE,https://www.oaj.com.cn/Journal/journal-of-integrative-agriculture,2095-3119,2352-3425,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF INNOVATION & KNOWLEDGE,https://www.oaj.com.cn/Journal/journal-of-innovation-knowledge,,2444-569X,Elsevier,Multi-Language,Spain,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF HYDROLOGY AND HYDROMECHANICS,https://www.oaj.com.cn/Journal/journal-of-hydrology-and-hydromechanics,,1338-4333,Sciendo,English,POLAND,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
Journal of Hazardous Materials Letters,https://www.oaj.com.cn/Journal/journal-of-hazardous-materials-letters,2666-9110,2666-9110,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,44,2026-05-21T07:21:51+00:00
JOURNAL OF MAGNESIUM AND ALLOYS,https://www.oaj.com.cn/Journal/journal-of-magnesium-and-alloys,2213-9567,2213-9567,"KeAi Communications Co., Ltd.",English,China,金色OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,https://www.oaj.com.cn/Journal/journal-of-materials-science-materials-in-medicine,,1573-4838,Springer,English,NETHERLANDS,,Sound Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF NEUROINFLAMMATION,https://www.oaj.com.cn/Journal/journal-of-neuroinflammation,,1742-2094,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF NEURODEVELOPMENTAL DISORDERS,https://www.oaj.com.cn/Journal/journal-of-neurodevelopmental-disorders,1866-1947,1866-1955,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF NEUROENGINEERING AND REHABILITATION,https://www.oaj.com.cn/Journal/journal-of-neuroengineering-and-rehabilitation,,1743-0003,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF LINGUISTICS,https://www.oaj.com.cn/Journal/journal-of-linguistics,0022-2267,1469-7742,Cambridge University Press,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF MASS SPECTROMETRY AND ADVANCES IN THE CLINICAL LAB,https://www.oaj.com.cn/Journal/journal-of-mass-spectrometry-and-advances-in-the-clinical-lab,,2667-145X,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF MATERIOMICS,https://www.oaj.com.cn/Journal/journal-of-materiomics,2352-8478,2352-8478,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF LIPID RESEARCH,https://www.oaj.com.cn/Journal/journal-of-lipid-research,0022-2275,1539-7262,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,https://www.oaj.com.cn/Journal/journal-of-microbiology-immunology-and-infection,1684-1182,1995-9133,Elsevier,English,"Taiwan, Province of China",Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,45,2026-05-21T07:21:51+00:00
JOURNAL OF OVARIAN RESEARCH,https://www.oaj.com.cn/Journal/journal-of-ovarian-research,,1757-2215,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF ORTHOPAEDICS AND TRAUMATOLOGY,https://www.oaj.com.cn/Journal/journal-of-orthopaedics-and-traumatology,,1590-9999,Springer,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF PUBLIC POLICY,https://www.oaj.com.cn/Journal/journal-of-public-policy,0143-814X,1469-7815,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF PHYSIOTHERAPY,https://www.oaj.com.cn/Journal/journal-of-physiotherapy,1836-9553,1836-9561,Elsevier,English,Australia,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF OCEAN ENGINEERING AND SCIENCE,https://www.oaj.com.cn/Journal/journal-of-ocean-engineering-and-science,2468-0133,2468-0133,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF PHARMACEUTICAL ANALYSIS,https://www.oaj.com.cn/Journal/journal-of-pharmaceutical-analysis,2095-1779,2214-0883,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF ORTHOPAEDIC TRANSLATION,https://www.oaj.com.cn/Journal/journal-of-orthopaedic-translation,2214-031X,2214-031X,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF PALAEOGEOGRAPHY-ENGLISH,https://www.oaj.com.cn/Journal/journal-of-palaeogeography-english,2095-3836,2524-4507,Elsevier,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF NURSING MANAGEMENT,https://www.oaj.com.cn/Journal/journal-of-nursing-management,0966-0429,1365-2834,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF ORAL MICROBIOLOGY,https://www.oaj.com.cn/Journal/journal-of-oral-microbiology,,2000-2297,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,46,2026-05-21T07:21:51+00:00
JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,https://www.oaj.com.cn/Journal/journal-of-theoretical-and-applied-electronic-commerce-research,,0718-1876,MDPI,English,SWITZERLAND,Gold OA,Sound Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF SPORT AND HEALTH SCIENCE,https://www.oaj.com.cn/Journal/journal-of-sport-and-health-science,2095-2546,2213-2961,Elsevier,English,China,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF SAUDI CHEMICAL SOCIETY,https://www.oaj.com.cn/Journal/journal-of-saudi-chemical-society,1319-6103,2212-4640,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
Journal of Social Computing,https://www.oaj.com.cn/Journal/journal-of-social-computing,,2688-5255,Tsinghua University Press,English,China,Diamond/Platinum OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF THE AMERICAN HEART ASSOCIATION,https://www.oaj.com.cn/Journal/journal-of-the-american-heart-association,,2047-9980,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF THE WORLD AQUACULTURE SOCIETY,https://www.oaj.com.cn/Journal/journal-of-the-world-aquaculture-society,0893-8849,1749-7345,Wiley,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF THE INTERNATIONAL AIDS SOCIETY,https://www.oaj.com.cn/Journal/journal-of-the-international-aids-society,,1758-2652,Wiley,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF RESPONSIBLE INNOVATION,https://www.oaj.com.cn/Journal/journal-of-responsible-innovation,,2329-9037,Taylor & Francis,English,United Kingdom,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF THE INTERNATIONAL SOCIETY OF SPORTS NUTRITION,https://www.oaj.com.cn/Journal/journal-of-the-international-society-of-sports-nutrition,,1550-2783,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
Journal of South Architecture,https://www.oaj.com.cn/Journal/journal-of-south-architecture,3029-2336,3029-2263,Viser Technology Pte. Ltd.,English,Singapore,Gold OA,Frontier Science Journal,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,47,2026-05-21T07:21:51+00:00
JOURNAL OF THORACIC DISEASE,https://www.oaj.com.cn/Journal/journal-of-thoracic-disease,,2077-6624,AME Publishing Company,English,"Hong Kong, China",,,4区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
JOURNAL OF WOOD SCIENCE,https://www.oaj.com.cn/Journal/journal-of-wood-science,,1611-4663,Springer,English,JAPAN,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
LANDSCAPE ECOLOGY,https://www.oaj.com.cn/Journal/landscape-ecology,,1572-9761,Springer,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
LIGHT-SCIENCE & APPLICATIONS,https://www.oaj.com.cn/Journal/light-science-applications,,2047-7538,Springer Nature,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
LEIDEN JOURNAL OF INTERNATIONAL LAW,https://www.oaj.com.cn/Journal/leiden-journal-of-international-law,0922-1565,1478-9698,Cambridge University Press,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
JOURNAL OF TISSUE ENGINEERING,https://www.oaj.com.cn/Journal/journal-of-tissue-engineering,2041-7314,2041-7314,Sage,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
JOURNAL OF VASCULAR SURGERY-VENOUS AND LYMPHATIC DISORDERS,https://www.oaj.com.cn/Journal/journal-of-vascular-surgery-venous-and-lymphatic-disorders,2213-333X,2213-333X,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
KIDNEY INTERNATIONAL REPORTS,https://www.oaj.com.cn/Journal/kidney-international-reports,2468-0249,2468-0249,Elsevier,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
JOURNAL OF WEB SEMANTICS,https://www.oaj.com.cn/Journal/journal-of-web-semantics,,1873-7749,Elsevier,English,NETHERLANDS,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
JOURNAL OF VETERINARY INTERNAL MEDICINE,https://www.oaj.com.cn/Journal/journal-of-veterinary-internal-medicine,0891-6640,1939-1676,Wiley,English,USA,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,48,2026-05-21T07:21:51+00:00
MALARIA JOURNAL,https://www.oaj.com.cn/Journal/malaria-journal,,1475-2875,BioMed Central,English,United Kingdom,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
MARINE DRUGS,https://www.oaj.com.cn/Journal/marine-drugs,,1660-3397,MDPI,English,Switzerland,Gold OA,Sound Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
LWT-FOOD SCIENCE AND TECHNOLOGY,https://www.oaj.com.cn/Journal/lwt-food-science-and-technology,0023-6438,1096-1127,Elsevier,English,Netherlands,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
MATERIALS & DESIGN,https://www.oaj.com.cn/Journal/materials-design,0264-1275,1873-4197,Elsevier,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
MACROMOLECULAR MATERIALS AND ENGINEERING,https://www.oaj.com.cn/Journal/macromolecular-materials-and-engineering,1438-7492,1439-2054,Wiley-VCH,English,Germany,,,,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
LIMNOLOGY AND OCEANOGRAPHY LETTERS,https://www.oaj.com.cn/Journal/limnology-and-oceanography-letters,,2378-2242,Wiley,English,USA,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
MATERIALS RESEARCH LETTERS,https://www.oaj.com.cn/Journal/materials-research-letters,,2166-3831,Taylor & Francis,English,United Kingdom,,,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
MABS,https://www.oaj.com.cn/Journal/mabs,,1942-0862,Taylor & Francis,English,United Kingdom,,,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
LIVING REVIEWS IN SOLAR PHYSICS,https://www.oaj.com.cn/Journal/living-reviews-in-solar-physics,,1614-4961,Springer,English,SWITZERLAND,,,0区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
LIVING REVIEWS IN RELATIVITY,https://www.oaj.com.cn/Journal/living-reviews-in-relativity,,1433-8351,Springer,English,SWITZERLAND,,,0区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,49,2026-05-21T07:21:51+00:00
MICROBIOME,https://www.oaj.com.cn/Journal/microbiome,,2049-2618,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,1区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,50,2026-05-21T07:21:51+00:00
MICROBIAL CELL FACTORIES,https://www.oaj.com.cn/Journal/microbial-cell-factories,,1475-2859,BioMed Central,English,United Kingdom,Gold OA,Frontier Science Journal,2区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,50,2026-05-21T07:21:51+00:00
MICROBIAL ECOLOGY,https://www.oaj.com.cn/Journal/microbial-ecology,0095-3628,1432-184X,Springer,English,USA,Gold OA,Frontier Science Journal,3区,OAJ,https://www.oaj.com.cn/simplesearch?field=1,50,2026-05-21T07:21:51+00:00
